,MaterialType,CultivationName,SupplierCatalogueNumber,ERPnumber,ERPInventoryControl,LIMSSpec,BOM,Assay
2,Negative Control DNA,Human Placental DNA,CA-972-M,A0000363.UK,Y,N,N,300100GMP.BUK
3,Negative Control RNA,Human Placental RNA,540025,A0000974.UK,Y,N,N,300100GMP.BUK
4,PCR mastermix,Universal PCR Mastermix,4304437,A0000111.KIT,Y,N,N,300100GMP.BUK
5,RT-PCR mastermix,One Step RT-PCR Mix,4309169,A0001642.UK,Y,N,N,300100GMP.BUK
6,PCR mastermix,Eurogentec QPCR mastermix,RT-QP2X-03,100004081.UK,Y,N,N,300100GMP.BUK
7,RT-PCR mastermix,Eurogentec One Step qPCR RT Mastermix,RT-QPRT-032X,100004423.PK,Y,N,N,300100GMP.BUK
8,PCR mastermix,"Quanta PerfeCTa qPCR SuperMix, ROX",733-1188,100007355.UK,Y,N,N,300100GMP.BUK
9,RT-PCR mastermix,Quanta qScript™ One Step qRT PCR mastermix,733-1259,100007243.KIT,Y,N,N,300100GMP.BUK
10,RT-PCR mastermix,AgPath-ID™ One-Step RT-PCR,4387424,100008119.UK,Y,N,N,300100GMP.BUK
11,IPC,Exogenous IPC Reagents,4308321,A0000112.KIT,Y,N,N,300100GMP.BUK
12,IPC,Universal Exogenous IPC-BHQ reagents,RT-IPCY-B02,100007562.UK,Y,Y,N,300100GMP.BUK
13,Solvent,Ethanol,"101074F
15338
283047K","A00001044.UK
A0000104
A0001860.UK",Y,N,N,300100GMP.BUK
14,Extraction kit,QIAsymphony Residual NA Kit2,931855,100007858.KIT,Y,N,N,300100GMP.BUK
15,Extraction kit,QIAAMP DNA Mini Kit,51304,A0001640.UK,Y,N,N,300100GMP.BUK
16,Extraction kit,QIAAMP Viral RNA Mini Kit2,52904,A0001641.UK,Y,N,N,300100GMP.BUK
17,Extraction kit,RNeasy Mini Kit2,74104,A0000578.UK,Y,N,N,300100GMP.BUK
18,Extraction kit,QIAAMP DNA Mini QIAcube Kit2,51326,100007449.KIT,Y,N,N,300100GMP.BUK
19,Extraction kit,QIAAMP Viral RNA Mini QIAcube Kit2,52926,100007446.KIT,Y,N,N,300100GMP.BUK
20,Extraction kit,RNeasy Mini QIAcube Kit2,74116,100007450.KIT,Y,N,N,300100GMP.BUK
21,PBS,Phosphate Buffered Saline (PBS) 1x,"14040-083
14040091","100000856.100ml
100000718.500ml","Y
Y","Y
Y","N
N",300100GMP.BUK
22,Buffer,1 x TE buffer,V6231,A0000554.100ml,Y,N,N,300100GMP.BUK
23,Water,Nuclease Free Water,P1193,A0000551.50ML,Y,N,N,300100GMP.BUK
24,Carrier Nucleic Acid,Polyadenylic acid,10108626001,A0000600.100MG,Y,N,N,300100GMP.BUK
25,300101 Primer,40µm HSV 1/2 90168 F ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
26,300101 Primer,40µm HSV 1/2 90168 R ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
27,300101 Probe,20µm HSV 1/2 90168 FAM-MGB ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
28,300102 Primer,40µm B19 90200 F ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
29,300102 Primer,40µm B19 90200 R ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
30,300102 Probe,20µm B19 90200 FAM-MGB ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
31,300103 Primer,40µm EBV 90207 F ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
32,300103 Primer,40µm EBV 90207 R ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
33,300103 Probe,20µm EBV 90207 FAM-MGB ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
34,300104 Primer,40µm SV40 90211 F ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
35,300104 Primer,40µm SV40 90211 R ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
36,300104 Probe,20µm SV40 90211 FAM-MGB ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
37,300105 Primer,40µm HHV5 hCMV 90212 F ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
38,300105 Primer,40µm HHV5 hCMV 90212 R ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
39,300105 Probe,20µm HHV5 hCMV 90212 FAM-MGB ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
40,300106 Primer,40µm HHV6 90216 F ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
41,300106 Primer,40µm HHV6 90216 R ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
42,300106 Probe,20µm HHV6 90216 FAM-MGB ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
43,300107 Primer,40µm HHV7 90227 F  ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
44,300107 Primer,40µm HHV7 90227 R ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
45,300107 Probe,20µm HHV7 90227 FAM-MGB ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
46,300108 Primer,40µm HHV8 90223 F ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
47,300108 Primer,40µm HHV8 90223 R ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
48,300108 Probe,20µm HHV8 90223 FAM-MGB ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
49,300109 Primer,40µm HIV-1 90327 FA ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
50,300109 Primer,40µm HIV-1 90327 FB ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
51,300109 Primer,40µm HIV-1 90327 FC ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
52,300109 Primer,40µm HIV-1 90327 FD ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
53,300109 Primer,40µm HIV-1 90327 FE ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
54,300109 Primer,40µm HIV-1 90327 FF ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
55,300109 Primer,40µm HIV-1 90327 FG ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
56,300109 Primer,40µm HIV-1 90327 R ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
57,300109 Probe,20µm HIV-1 90327 FAM-MGB ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
58,300110 Primer,40µm HIV-2 90310 F1 ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
59,300110 Primer,40µm HIV-2 90310 F2,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
60,300110 Primer,40µm HIV-2 90310 R1 ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
61,300110 Primer,40µm HIV-2 90310 R2,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
62,300110 Primer,40µm HIV-2 90310 R3 ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
63,300110 Primer,40µm HIV-2 90310 R4 ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
64,300110 Primer,40µm HIV-2 90310 R5 ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
65,300110 Primer,40µm HIV-2 90310 R6 ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
66,300110 Probe,20µm HIV-2 90310 MGB1 ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
67,300110 Probe,20µm HIV-2 90310 MGB2 ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
68,300110 Probe,20µm HIV-2 90310 MGB3 ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
69,300111 Primer,40µm HBV 90260 F ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
70,300111 Primer,40µm HBV 90260 R1 ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
71,300111 Probe,20µm HBV 90260 FAM-MGB ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
72,300112 Primer,40µm HCV F ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
73,300112 Primer,40µm HCV R ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
74,300112 Probe,20µm HCV FAM-MGB ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
75,300113 Primer,40µm HTLV 90269 F1 ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
76,300113 Primer,40µm HTLV 90269 R2 (LNA) ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
77,300113 Probe,20µm HTLV 90269 FAM-MGB ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
78,300114 Primer,40µm HAV 90262 F1 ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
79,300114 Primer,40µm HAV 90262 R1 ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
80,300114 Probe,20µm HAV 90262(124) MGB ,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
81,Primer,20µm CPMV-818R Primer,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
82,Primer,20µm CPMV-745F Primer,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
83,Probe,5µm CPMV-766T,N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
84,Primer,EPC3-F (90267F),N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
85,Primer,EPC3-R (90267R),N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
86,Probe,EPC3-FAM-MGB (90267T),N/A,N/A,N,Y,KPBT6377*,300100GMP.BUK
87,DNA,HSV 1/2 90168 DNA Plasmid,N/A,N/A,N,Y,KPBT6440**,300100GMP.BUK
88,DNA,B19 90200 DNA Plasmid,N/A,N/A,N,Y,KPBT6440**,300100GMP.BUK
