,MaterialType,CultivationName,SupplierCatalogueNumber,ERPnumber,ERPInventoryControl,LIMSSpec,BOM
2,Serum,FBS,10094-159,100000271.1L,Y,Y,N/A
3,Serum,Client Supplied Serum,n/a,n/a,N,N,N/A
4,Serum,Client Specified Serum1,n/a,n/a,N,N,N/A
5,Raw Material,Trypan Blue,T8154-100ML,A0000964.100ml,Y,Y,N/A
6,Raw Material,Trypsin-EDTA,25300-026,A25300062.500ml,Y,Y,N/A
7,Raw Material,PBS,14190-094,100004079.500ml,Y,Y,N/A
8,Raw Material,HBSS,14170-070,100001237.100ml,Y,Y,N/A
9,Raw Material,Enzyme Stabiliser,R590,A0002105.UK,Y,Y,N/A
10,Raw Material,Extraction Buffer,A475,A0001247.UK,Y,Y,N/A
11,Raw Material,Karyomax Colcemid Solution,15212-046,100004275.10ML,Y,N,N/A
12,Raw Material,Dimethyl Sulfoxide PhEur USP,D2438-5x10ml,100007089.50ML,Y,Y,N/A
13,Raw Material,Sodium Cacodylate,R1104,100004144.100G,Y,N,N/A
14,Raw Material,Gluteraldehyde,R1011,100004258.250ml,Y,N,N/A
15,Raw Material,16% Formaldehyde,R1026,A0002214.UK,Y,N,N/A
16,Raw Material,Water for Injections,22-96-985,A0001215.1L,Y,N,N/A
17,Raw Material,TSB,221715,100004760.PK,Y,N,N/A
18,Raw Material,TSA,104130,A0001753.UK,Y,Y,N/A
19,Base media,Client Supplied Base Media,n/a,n/a,N,N,N/A
20,Base media,Client Specified Base Media1,n/a,n/a,N,N,N/A
21,Base media,Ex-Cell 302 Media w/o Phenol Red,14326C-1000mL,100007095.1L,Y,Y,N/A
22,Base media,EXCELL CD CHO SERUM FREE MEDIA,14360C-1L,100001370.1L,Y,Y,N/A
23,Base media,SFM4CHO,SH30518.01,100004872.5L,Y,Y,N/A
24,Base media,CH-CHO ,10743029,100007094.1000ml,Y,Y,N/A
25,Base media,Ex-cell 302,14324C-1000ML,A0001736.UK,Y,Y,N/A
26,Base media,HyQ SFM4 CHO Media,SH30549.02,100004117.1L,Y,Y,N/A
27,Base media,CD OptiCHO,12681-011,100005048.1L,Y,Y,N/A
28,Base media,MEM MEDIUM (1X),22571-020,100004128.500ML,Y,N,N/A
29,Base media,DMEM (powder),D5648-2x5L,100004788.PK,Y,N,N/A
30,Base media,DMEM/ F-12 (1:1),51445C,100004981.1L,Y,N,N/A
31,Base media,Ex-cell 325 ,14340C-1000ML,A0001738.UK,Y,N,N/A
32,Base media,Ex-cell CHO DHFR,C8862-1L,100004534.1L,Y,N,N/A
33,Base media,DMEM High Glucose,61965-059,100004274.10PK500ML,Y,N,N/A
34,Base media,Medium 199 1x,31150-022,100004958.500ML,Y,N,N/A
35,Base media,DMEM (HG) W/NA PYR (CE),41966-029,100001324.500ML,Y,N,N/A
36,Base media,Ex-Cell ACF CHO Medium,C5467-1L,100004891.1L,Y,N,N/A
37,Base media,Minimum Essential Medium Eagle (powder),M0894-10x1L,100004890.,Y,N,N/A
38,Base media,Minimum Essential Medium (MEM)(1X) Liquid,21575-022,100004907.500ML,Y,N,N/A
39,Base media,VP-SFM (1X) Liquid,11681-020,A11681020.UK,Y,N,N/A
40,Base media,DMEM/F12 HAM,D8062-500ml,100004776.500ML,Y,N,N/A
41,Base media,DMEM (high glucose),D5796-1L,100005032.1L,Y,N,N/A
42,Base media,Sf-900 III SFM,12658-027,100004789.1L,Y,N,N/A
43,Base media,DMEM (sterile filtered),D5671-6x500ml,100005047,Y,N,N/A
44,Base Media,CHO-S-SFM II,31033-020,100004495.500ML,Y,N,N/A
45,Base Media,DMEM,D5546,100004538.PK,Y,N,N/A
46,Supplement,Client Supplied Supplement,n/a,n/a,N,N,N/A
47,Supplement,Client Specified Supplement1,n/a,n/a,N,N,N/A
48,Supplement,Pen Strep,15140-122,100000777.100ml,Y,Y,N/A
49,Supplement,Fungizone,15290-026,100000670.50ml,Y,Y,N/A
50,Supplement ,L-Glutamine,25030-024,100007081.100ML,Y,Y,N/A
51,Supplement,Sodium Pyruvate,11360-039,100001306.100ml,Y,Y,N/A
52,Supplement,Non Essential Amino Acids,11140035,100000846.100ml,Y,Y,N/A
53,Supplement,HEPES,H0887-20ml,A0001286.20ML,Y,Y,N/A
54,Supplement,L-METHIONINE SULFOXIMINE,M5379-1G,A0002147.UK,Y,N,N/A
55,Supplement,HEPES,15630-056,100001266.100ml,Y,N,N/A
56,Supplement,Gentamycin,15710-049,100001267.500ml,Y,Y,N/A
57,Supplement,L-Glutamine,G7513-100ml,100003552.,Y,N,N/A
58,Supplement,Glutamax,35050-038,100004273.BT,Y,N,N/A
59,Supplement,Vitamin K1,95271-1G,A0001768.UK,Y,N,N/A
60,Supplement,HT Supplement,11067-030,100004986.50ML,Y,N,N/A
61,Supplement,250x Cholesterol lipid,12531-018,100004300.100ML,Y,N,N/A
62,Supplement,Insulin,I-9278,A0001292.UK,Y,N,N/A
63,Supplement,GSEM Supplement,G9785-100ml,100005049.100ml,Y,Y,N/A
64,Supplement,Sodium Bicarbonate,S5761-500G,100004679.500G,Y,N,N/A
65,Supplement,L-Proline,P0380-100G,100004431.100G,Y,N,N/A
66,Supplement,D-Glucose Solution 45% in H2O,G8769-100ML,100003632.100ML,Y,N,N/A
