,MaterialType,CultivationName,SupplierCatalogueNumber,ERPnumber,ERPInventoryControl,LIMSSpec,BOM,Assay
2,Media,Luria-Bertani (LB) Broth Base,12795-027 ,100000855.500G,Y,Y,KPBT4413,106603GMP.BUK
3,Media,Luria-Bertani (LB) AgarPowder,L2897-1KG,100004215.1KG,Y,Y,KPBT4413,106603GMP.BUK
4,Antibiotic,Tetracycline HCl,T8032-20MG,A0000963.20MG,Y,Y,KPBT4413,106603GMP.BUK
5,Antibiotic,Tetracycline,T3258-5G,100005086.5G,Y,Y,KPBE4413,106603GMP.BUK
6,Antibiotic,Ampicillin,A2804-50MG,A0000837.50MG,Y,Y,KPBT4413,106603GMP.BUK
7,Antibiotic ,Ampicillin,A9518-5G,100004426.5G,Y,N,KPBT4413,106603GMP.BUK
8,Antibiotic,Kanamycin,K1377-5G,100001620.5G,Y,Y,KPBT4413,106603GMP.BUK
9,Antibiotic,Erythromycin,E5389-5G,100004742.5G,Y,Y,KPBT4413,106603GMP.BUK
10,Extraction kit,QIAGEN Plasmid Maxi Kit,12163,A0000558.UK,Y,Y,N,106603GMP.BUK
11,Solvent,Ethanol,101074F_153386F_283047K,A00001044.UK_A0000104_A0001860.UK,Y,N,KPBT4413,106603GMP.BUK
12,Solvent,Propanol,20842.323,A0000081.2’5l,Y,Y,N,106603GMP.BUK
13,Water,Nuclease Free Water,"129115,_P1193",100004189.100ML_A0000551.50ML,Y,Y,N,106603GMP.BUK
14,DNA sequencing Kit,BigDye Terminator v3.1,4337456,A0001976.UK,Y,N,N,106603GMP.BUK
15,Polymer,POP 7 Polymer,4352759,A0001975.UK,Y,Y,N,106603GMP.BUK
16,Reagent,BetaineSolution,B0300.1vl ,100004892.VL,Y,Y,N,106603GMP.BUK
17,Buffer,Big Dye Terminator 5 x Sequencing Buffer,4336697,100004321.1ML,Y,Y,N,106603GMP.BUK
18,Buffer,10 x Genetic Analyser Buffer,4335613,A0001977.UK,Y,Y,KPES0553,106603GMP.BUK
19,DNA Sequencing Control Template,pGEM®-3Zf(+) Vector,P2271,100004987.VL,Y,Y,Y,106603GMP.BUK
20,DNA Sequencing Control Primer,–21 M13 primer (forward),N/A,N/A,N,N,BA5082,106603GMP.BUK
21,3130 Genetic Analyser Capillaries,"36 cm, 50 cm capillary arrays","4333464, _4333466",100004183.EACH_A0002206.UK,Y,N,N,106603GMP.BUK
22,3130xl Genetic Analyser Capillaries,"50 cm, 80 cm capillary arrays","4315930,_4319899","100004884.,_100004883.",Y,N,N,106603GMP.BUK
23,Chemical,Sodium Acetate,AM9740,100004531.100ML,Y,Y,N,106603GMP.BUK
24,Chemical,EDTA,AM9260G,100004533.100ML,Y,Y,KPBT4413,106603GMP.BUK
25,Chemical,Hi-Di Formamide,4311320,A0000283.25ML,Y,Y,N,106603GMP.BUK
26,Purification Kit,Big Dye X-terminator Purification Kit,4376484 _,100004843.KIT_,Y,N,N,106603GMP.BUK
27,Purification Kit,Big Dye X-terminator Kit,4376487,100005016.KIT,Y,N,N,106603GMP.BUK
28,Consumables,Wide bore pipette tips,T-205-WB-C-L-R-S,100004912.,Y,N,N,106603GMP.BUK
