,MaterialType,CultivationName,SupplierCatalogueNumber,ERPnumber,ERPInventoryControl,LIMSSpec,BOM,Assay
2,Primer,40µM EPC3 90267 F Primer,N/A,N/A,N,Y,PROC-BREL_UK-OP-036916 (KPBT6377),305726GMP.BUK
3,Primer,40µM EPC3 90267 R Primer,N/A,N/A,N,Y,PROC-BREL_UK-OP-036916 (KPBT6377),305726GMP.BUK
4,Probe,20µM EPC3 90267-MGB Probe,N/A,N/A,N,Y,PROC-BREL_UK-OP-036916 (KPBT6377),305726GMP.BUK
5,Primer,40µM MMV 305726 F Primer,N/A,N/A,N,Y,PROC-BREL_UK-OP-036916 (KPBT6377),305726GMP.BUK
6,Primer,40µM MMV 305726 R Primer,N/A,N/A,N,Y,PROC-BREL_UK-OP-036916 (KPBT6377),305726GMP.BUK
7,Probe,20µM MMV 305726-BHQ Probe,N/A,N/A,N,Y,PROC-BREL_UK-OP-036916 (KPBT6377),305726GMP.BUK
8,DNA,MMV CFX +ves (Long Oligo Page Ultramer),N/A,N/A,N,Y,PROC-BREL_UK-OP-036986_(KPBT6440),305726GMP.BUK
9,DNA,EPC3 Plasmid DNA,N/A,N/A,N,N,PROC-BREL_UK-OP-036986_(KPBT6440),305726GMP.BUK
10,DNA,Human Placental DNA,CA-972-M_CA-972-F,A0000363.UK_100004480.1MG,Y,N,N,305726GMP.BUK
11,Solvent,Ethanol,101074F_15338_283047K,A00001044.UK_A0000104_A0001860.UK,Y,N,N,305726GMP.BUK
12,PCR master mix,Lumino CT q-PCR Readymix ,L6669-500RXN,100009338.UK,Y,Y,N,305726GMP.BUK
13,Extraction kit,QIAamp DNA Mini QIAcube Kit,51326,100007446.KIT,Y,N,N,305726GMP.BUK
14,Extraction kit,QIAamp Viral RNA Mini QIAcube Kit1,52926,100007446.KIT,Y,N,N,305726GMP.BUK
15,PBS,Phosphate Buffered Saline (PBS) 1x,14040-083_14040091,100000856.100ml_100000718.500ml,Y,Y,N,305726GMP.BUK
16,Buffer,1 x TE buffer,V6231,A0000554.100ml,Y,N,N,305726GMP.BUK
17,Water,Nuclease Free Water,P1193,A0000551.50ML,Y,N,N,305726GMP.BUK
