,MaterialType,CultivationName,SupplierCatalogueNumber,ERPnumber,ERPInventoryControl,LIMSSpec,BOM
2,Extraction kit,RNeasy Mini Kit,74104,A0000578.UK,Y,Y,N
3,Consumables,Collection tubes,19201,A0000568.2ML,Y,N,N
4,Buffer,"1x Phosphate Buffered Saline (PBS) 
1x Dulbecco’s PBS + CA + MG","14040083

14040091","100000856.100ml

100000718.500ml",Y,Y,N
5,Solvent,Ethanol,"101074F
153386F
283047K","A00001044.UK
A0000104 .2'5 L
A0001860.UK",Y,N,KPBT4413
6,Enzyme,RNase Free DNase,79254,A0000581.UK,Y,Y,N
7,Enzyme,DNase I (amplification grade),18068-015,100004765.100UN,Y,Y,N
8,Chemical,β-mercaptoethanol,M3148-25ml,A0001303.25ML,Y,Y,N
9,cDNA Preparation Kit,ThermoScript. RT-PCR System,11146016,100000847.100RXN,Y,Y,N
10,cDNA Preparation  Kit,SuperScript. III First-Strand Synthesis System for RT-PCR,18080-051,100004396.50PK,Y,Y,N
11,PCR Kit,Fast start Taq DNA polymerase kit,12032945001,100004425.EA ,Y,Y,N
12,dNTPs,"ATP, GTP, TTP and CTP",N8080007 (10mM),A0000294.10MM1 SET,Y,Y,N
13,Water,Nuclease Free Water,"129115, 
P1193","100004189.1000ML, A0000551.50ML",Y,Y,N
14,Chemical,Agarose,15510-027 ,100001257.500G,Y,Y,N
15,Reagent,10x Blue Juice Loading Buffer,10816015 ,100000721.3X1ML,Y,Y,N
16,Reagent,Gel Star Nucleic Acid Stain,50535,100004202.2PK,Y,Y,N
17,Reagent,Ethidium Bromide Solution,15585-011,100001261.,Y,Y,N
18,Buffer,1 x TBE buffer,043-90296,100000646.,Y,Y,N
19,Buffer,1 x TAE buffer,4390291,100000678.,Y,Y,N
20,Buffer,10 x TBE buffer,15581-028,100001260.10L,Y,Y,KPBT4413
21,Buffer,10 x TAE buffer,15558-034,100001259.10L,Y,Y,KPBT4413
22,Molecular Weight Marker,100bp DNA Ladder,15628-019,100001264.50UG,Y,Y,N
23,Molecular Weight Marker,1Kb DNA Ladder,15615-016 ,100001265.250UG,Y,Y,N
24,Purification Kit,PCR Purification Kit,28104,A0000571.UK,Y,Y,N
25,Buffer,Buffer QG,19063,100004773.250ML,Y,Y,N
26,Molecular Weight Marker,Low DNA Mass Ladder,10068013 ,100000716.200UL,Y,Y,N
27,DNA sequencing Kit,BigDye Terminator v3.1,4337456,A0001976.UK,Y,N,N
28,Polymer,POP 7 Polymer,4352759,A0001975.UK,Y,Y,N
29,Reagent,BetaineSolution,B0300.1vl ,100004892.VL,Y,Y,N
30,Buffer,Big Dye Terminator 5 x Sequencing Buffer,4336697,100004321.1ML,Y,Y,N
31,Buffer,10 x Genetic Analyser Buffer,4335613,A0001977.UK,Y,Y,KPES0553
32,DNA Sequencing Control Template,pGEM®-3Zf(+) Vector,P2271,100004987.VL,Y,Y,N
33,DNA Sequencing Control Primer,–21 M13 primer (forward),N/A,N/A,N,N,BA5082
34,3130 Genetic Analyser Capillaries,"36 cm, 50 cm capillary arrays","4333464, 
4333466","100004183.EACH, 
A0002206.UK",Y,N,N
35,3130xl Genetic Analyser Capillaries,"50 cm, 80 cm capillary arrays","4315930,
4319899","100004884.,
100004883.",Y,N,N
36,Chemical,Sodium Acetate,AM9740,100004531.100ML,Y,Y,N
37,Chemical,EDTA,AM9260G,100004533.100ML,Y,Y,KPBT4413
38,Chemical,Hi-Di Formamide,4311320,A0000283.25ML,Y,Y,N
39,Purification Kit,Big Dye X-terminatorPurification Kit,4376484,100004843.KIT,Y,N,N
40,Purification Kit,Big Dye X-terminator,4376487,100005016.KIT,Y,N,N
41,Consumables,Wide bore pipette tips,T-205-WB-C-L-R-S,100004912.,Y,N,N
