,MaterialType,CultivationName,SupplierCatalogueNumber,ERPnumber,ERPInventoryControl,LIMSSpec,BOM,Assay
2,Extraction kit,QIAamp DNA Mini Kit,51304,A0001640.UK,Y,Y,N,107439GMP.BUK
3,Extraction kit,QIAamp  DNeasy Tissue Kit,69504,A0000575,Y,Y,N,107439GMP.BUK
4,PBS,"Phosphate Buffered Saline (PBS), 1x",14040-083_14040091,100000856.100ml_100000718.500ml,Y,Y,N,107439GMP.BUK
5,Water,Nuclease Free Water,P1193,A0000551.50ML,Y,Y,N,107439GMP.BUK
6,Solvent,Ethanol,101074F_153386F_283047K,A00001044.UK_A0000104.2’5L_A0001860.UK,Y,Y,N,107439GMP.BUK
7,Buffer,1 x TE buffer (optional),V6231,A0000554.100ml,Y,N,N,107439GMP.BUK
8,PCR master mix,Universal PCR mastermix,4304437,A0000111.KIT,Y,Y,N,107439GMP.BUK
9,IPC,Exogenous IPC Reagents,4308321,A0000112.KIT,Y,Y,N,107439GMP.BUK
10,Detection reagents (Primers & Probe),Taqman β-Actin Detection Reagents,401846,100004532.100RXN,Y,N,N,107439GMP.BUK
11,Detection reagents (Primers & Probe),Ribosomal RNA Reagents (18s),4308329,A0002207,Y,N,N,107439GMP.BUK
12,Detection reagents (Primers & Probe),Rodent GAPDH Kit,4308313,A0000279,Y,N,N,107439GMP.BUK
13,Primer,Client specific ,N/A,N/A,N,N,BA5101,107439GMP.BUK
14,probe,Client specific,N/A,N/A,N,N,BA5081,107439GMP.BUK
15,DNA,Negative control DNA,N/A,N/A,N,N,02.761,107439GMP.BUK
16,DNA,DNA positive control Plasmid,N/A,N/A,N,N,BR-KPBT6440-PLAS,107439GMP.BUK
