,MaterialType,CultivationName,SupplierCatalogueNumber,ERPnumber,ERPInventoryControl,LIMSSpec,BOM,Assay
2,Cell Line,Continuous Chicken embryo fibroblasts (DF-1),CRL-12203,100007071,Y,Y,NA,003939GMP.BUK
3,Virus,Avian Leukosis Virus Type A,VR-355,100000966,Y,Y,NA,003939GMP.BUK
4,Virus,Avian Leukosis Virus Type B,VR-658,100000965,Y,Y,NA,003939GMP.BUK
5,Virus,Avian Leukosis Virus Type J,HPRS-103,100004791,Y,Y,NA,003939GMP.BUK
6,Reagent,Phosphate buffered saline (PBS) 1 x,14190,100004079,Y,Y,NA,003939GMP.BUK
7,Reagent,Trypsin-EDTA,25300-062,A25300062,Y,Y,NA,003939GMP.BUK
8,Reagent,Penicillin and Streptomycin mixture,15140,100000777,Y,Y,NA,003939GMP.BUK
9,Reagent,Polybrene (Hexadimethrine Bromide),107689,100004500,Y,Y,NA,003939GMP.BUK
10,Reagent,HG DMEM,41966,100001324,Y,Y,NA,003939GMP.BUK
11,Reagent,Foetal Bovine Serum ,10091,100000271,Y,Y,NA,003939GMP.BUK
12,Reagent,Foetal Bovine Serum (FBS),10086148,100008353,Y,Y,NA,003939GMP.BUK
13,Reagent,Foetal Bovine Serum (FBS),12003C,100008403,Y,Y,NA,003939GMP.BUK
14,Reagent,ELISA kit for detection of Avian Leukosis Virus Antigen,99-09254,100004205,Y,Y,NA,003939GMP.BUK
15,Reagent,De-ionised water,NA,NA,Y,N,NA,003939GMP.BUK
16,Component,T150 Flasks,BRS061,A0001077,Y,N,NA,003939GMP.BUK
17,Component,Pipette tips 1-1000 μl,PIP7840,100004056,Y,N,NA,003939GMP.BUK
18,Component,"Pipette tips, 1-200μl",PIP7810/BRS110,100004058,Y,N,NA,003939GMP.BUK
19,Component,100ml Disposable Reservoirs,PMX-515-040C,100004262,Y,N,NA,003939GMP.BUK
20,Component,Sterile Pipette (50ml),357550,100004405,Y,Y,NA,003939GMP.BUK
21,Component,Sterile Pipette (25ml),357525,100004401,Y,Y,NA,003939GMP.BUK
22,Component,Sterile Pipette (10ml),357551,100004403,Y,Y,NA,003939GMP.BUK
