,MaterialType,CultivationName,SupplierCatalogueNumber,ERPnumber,ERPInventoryControl,LIMSSpec,BOM
2,In-House Media,EMEM with 2% FBS and antibiotics,N/A,100002239,Y,Y,BPBT0609
3,Purchased Raw Material,Trypsin-EDTA,25300-062,A25300062.500ML,Y,Y,N/A
4,Purchased Raw Material,PBS,14190-094,100004079,Y,Y,N/A
5,Erythrocyte,Guinea Pig Blood,PB030, A0000991,Y,Y,N/A
6,Erythrocyte,Chick Blood,S.B-0008H-U,100002723,Y,Y,N/A
7,Erythrocyte,Rhesus Monkey Blood,BS-SWB-AS-I,100002722,Y,Y,N/A
8,Detector Cells,MRC-5 Cells,CCL-171,100000232,Y,Y,N/A
9,Detector Cells,VERO Cells,CCL-81,100000224,Y,Y,N/A
10,Detector Cells,HeLa Cells,CCL-2,100000230,Y,Y,N/A
11,Detector Cells,A9 Cells,85011426,100004871,Y,Y,N/A
12,Media,2% EMEM,041-95942,100007873,Y,Y,N/A
13,Media,2% EMEM,04196673M,100008428,Y,Y,N/A
14,Media,10% EMEM,041-95941,100007874,Y,Y,N/A
15,Media,10% EMEM,04196654M,100008332,Y,Y,N/A
16,Media,1% DMEM,041-95944M,100000645,Y,Y,N/A
17,Media,1% DMEM,04196672M,100008427,Y,Y,N/A
18,Media,10% DMEM,041-95943M,A04191881,Y,Y,N/A
19,Media,10% DMEM,04196655M,100008331,Y,Y,N/A
20,Positive Control,MEASLES, VR-24 W,100000938.PVB,Y,Y,N/A
21,Positive Control,PI3, VR-281 W,100000956.PVB,Y,Y,N/A
22,Positive Control,EMC,VR-129B,100002708,Y,Y,N/A
23,Raw Material,Pen Strep,15140-122,100000777.100ML,Y,Y,N/A
24,Raw Material,Gentamycin,15710-049,100001267.100ML,Y,Y,N/A
25,Raw Material,Fungizone,15290-026,100000670.50ML,Y,Y,N/A
