,MaterialType,CultivationName,SupplierCatalogueNumber,ERPnumber,ERPInventoryControl,LIMSSpec,BOM
2,Water,Nuclease Free Water,P1193,A0000551.50ML,Y,Y,N
3,Positive Control Virus,MLV positive control ,ATCC VR1447,100000542.PVB,N,N,N
4,Media,DMEM,31885023,100000647.500ml,Y,Y,N/A
5,Media,FBS,10094,100000271.500ML,Y,Y,N/A
6,Reagent,1.0M Trizma Hydrochloride Solution pH 7.5,T2319-100ml,100008530.UK,N,N,N/A
7,InHouse Reagent,2.0M KCl,N/A,100004642.,N,N,KPBT6572 Form B
8,InHouse Reagent,0.5M DTT,N/A,100004641.,N,N,KPBT6572 Form C
9,InHouse Reagent,20% Igepal,N/A,100004644.,N,N,KPBT6572 Form D
10,Reagent,Taqman Gold RTPCR Reagents,N808-0234,100004216.PK ,Y,N,N/A
11,Reagent,50 mM MgCl2 (as part of Taq Polymerase Kit),18067-017,100004242.KIT,Y,N,N/A
12,RNA,MS2 RNA,165948,100004313.500ML,Y,Y,KPBT6572 Form A
13,Enzyme,Cloned AMV RT,12328-019 ,100004315.750UN,Y,Y,N/A
14,Primer,20 µM Primer RT3,N/A,N/A,N,Y,BR Primers BPBT6377
15,Primer,20 µM Primer RT4,N/A,N/A,N,Y,BR Primers BPBT6377
16,Probe,5 µM Probe QP-230,N/A,N/A,N,Y,BR Probe BPBT6377
17,Master Mix,Universal 2x Mix,4305719,A0000111.KIT,Y,Y,N/A
