,MaterialType,CultivationName,SupplierCatalogueNumber,ERPnumber,ERPInventoryControl,LIMSSpec,BOM,Assay
2,Restriction Endonucleases,Hae III,R0108S,100007301.UK,Y,N,N,104885GMP.BUK
3,Restriction Endonucleases,Hinf I,R0155S,100007300.UK,Y,N,N,104885GMP.BUK
4,Reagent,CDP star,120175,A0000229.100ML,Y,N,N,104885GMP.BUK
5,Buffer,Denaturation Buffer,N1531-1L,100009143.UK,Y,N,N,104885GMP.BUK
6,Buffer,Neutralisation Buffer,04390-293,100001285.,Y,N,PROC-BREL_UK-OP-047162,104885GMP.BUK
7,Buffer,20 x SSC,15557-036,100004829.4L,Y,N,N,104885GMP.BUK
8,Buffer,1 x TAE,4390291,100000678.,Y,Y,N,104885GMP.BUK
9,Buffer,1 x TBE,043-90296,100000646.,Y,Y,N,104885GMP.BUK
10,Reagent,Ethidium Bromide,15585-011,100001261.,Y,Y,N,104885GMP.BUK
11,Buffer,10x Blue Juice loading buffer,10816015,100000721.3x1ML,Y,N,N,104885GMP.BUK
12,Buffer,X-ray developer,RGD,A0000089.5L,Y,N,N,104885GMP.BUK
13,Buffer,X-ray fixer,5518,A0000090.5L,Y,N,N,104885GMP.BUK
14,Buffer,0.25M HCl,N/A,N/A,N,N,PROC-BREL_UK-OP-047162,104885GMP.BUK
15,Buffer,NICE Pre-hybridisation buffer      ,N/A,N/A,N,N,PROC-BREL_UK-OP-047162,104885GMP.BUK
16,Buffer,NICE wash 1,N/A,N/A,N,N,PROC-BREL_UK-OP-047162,104885GMP.BUK
17,Buffer,NICE wash 2,N/A,N/A,N,N,PROC-BREL_UK-OP-047162,104885GMP.BUK
18,Buffer,NICE hybridsation buffer,N/A,N/A,N,N,PROC-BREL_UK-OP-047162,104885GMP.BUK
19,Buffer,CDP star assay buffer,N/A,N/A,N,N,PROC-BREL_UK-OP-047162,104885GMP.BUK
20,Buffer,1 x SSC,N/A,N/A,N,N,PROC-BREL_UK-OP-047162,104885GMP.BUK
21,Buffer,Spermidine,N/A,N/A,N,N,PROC-BREL_UK-OP-047162,104885GMP.BUK
22,Probe,AP-conjugated MLP 33.15,N/A,N/A,N,N,N,104885GMP.BUK
23,Water,Nuclease Free Water,P1193,A0000551.50ML,Y,N,N,104885GMP.BUK
24,Reagent,1 kb DNA ladder,10787018,100007375,Y,N,N,104885GMP.BUK
25,Agarose,Agarose,15510-027,100005038,Y,N,N,104885GMP.BUK
26,Lab supplies,Hyperfilm,28906848,A0000086.25PK,Y,N,N,104885GMP.BUK
27,Chemical,Sodium dodecyl sulfate (SDS),L4390-500G,100004580.500G,Y,N,N,104885GMP.BUK
28,Reagent,20% Sodium dodecyl sulfate (SDS),N/A,N/A,N,N,PROC-BREL_UK-OP-047162,104885GMP.BUK
29,Reagent,1% Sodium dodecyl sulfate (SDS),N/A,N/A,N,N,PROC-BREL_UK-OP-047162,104885GMP.BUK
30,Reagent,2 x SSC,N/A,N/A,N,N,PROC-BREL_UK-OP-047162,104885GMP.BUK
31,Lab supplies,Hybond-N+ Membrane,RPN303B,A0000245.UK,Y,N,N,104885GMP.BUK
32,Lab supplies,3MM Chromatography paper,3030-917,A0000141,Y,N,N,104885GMP.BUK
33,Chemical,Trizma base,T1503,100001345,Y,N,N,104885GMP.BUK
34,Chemical,Trizma hydrochloride,T3253,100007854,Y,N,N,104885GMP.BUK
35,Chemical,Sodium chloride,S3014,100004421,Y,N,N,104885GMP.BUK
