,MaterialType,CultivationName,SupplierCatalogueNumber,ERPnumber,ERPInventoryControl,LIMSSpec,BOM,Assay
2,Detector Cells,MRC-5 cells,ATCC CCL-171,100000232.WCB,Y,Y,N/A,375433GMP.BUK
3,Detector Cells,Vero C1008 cells,ATCC CRL-1586,100000253.WCB,Y,Y,N/A,375433GMP.BUK
4,Detector Cells,324K cells,Yale University,100000252.WCB,Y,Y,N/A,375433GMP.BUK
5,Detector Cells,CHO-K1 cells,ATCC CCL-61,100000233.WCB,Y,Y,N/A,375433GMP.BUK
6,Detector Cells,Sp2/0 Ag14 cells,ATCC CCL-1581,100002730.UK,Y,Y,N/A,375433GMP.BUK
7,Positive Control,PI3 ,VR-281,100000956.PVB,Y,Y,N/A,375433GMP.BUK
8,Positive Control,Measles,VR-24,100000938.PVB,Y,Y,N/A,375433GMP.BUK
9,Positive Control,MMVp,VR-1346,100000541.PVB,Y,Y,N/A,375433GMP.BUK
10,Positive Control,EMC,VR-129,100002708.PVB,Y,Y,N/A,375433GMP.BUK
11,Supplemented Media,10% HG DMEM,04191881M,A04191881.500ML,Y,Y,N/A,375433GMP.BUK
12,Supplemented Media,1% HG DMEM,04191882M,100000645,Y,Y,N/A,375433GMP.BUK
13,Supplemented Media,1 % HG DMEM,04196672M,100008427.500ML,Y,Y,N/A,375433GMP.BUK
14,Supplemented Media,10% HG DMEM,04196655M,100008331.500ML,Y,Y,N/A,375433GMP.BUK
15,Raw Material,Foetal clone 3,SH30109.03,A0000191.500ML,Y,Y,N/A,375433GMP.BUK
16,Raw Material,L-Glutamine,25030-024,A25030024,Y,Y,N/A,375433GMP.BUK
17,Raw Material,Pen Strep,15140-122,100000777.100ML,Y,Y,N/A,375433GMP.BUK
18,Raw Material,Gentamycin,15710-049,100001267.100ML,Y,Y,N/A,375433GMP.BUK
19,Raw Material,NEAA,11140035,100000846.100ML,Y,Y,N/A,375433GMP.BUK
20,Raw Material,Fungizone,15290-026,100000670.50ml,Y,Y,N/A,375433GMP.BUK
21,Raw Material,HBSS,14170-088,100000794.500ML,Y,Y,N/A,375433GMP.BUK
22,Raw Material,Trypsin-EDTA,25300-062,A25300062.500ML,Y,Y,N/A,375433GMP.BUK
23,Raw Material,PBS (1X),14040-083,100000856.100ML,Y,Y,N/A,375433GMP.BUK
24,Blood,Guinea Pig Blood,PB030,A0000991.UK,Y,Y,N/A,375433GMP.BUK
25,Blood,Chicken Blood,SB-0008H-U,100002723.,Y,Y,N/A,375433GMP.BUK
26,Blood,Human Blood,Z416,A0000096.10ML,Y,Y,N/A,375433GMP.BUK
